,address,ageLimit,area,avg,community,decoration,district,floor,street,sum,tag,title,type,url,years
0,骆兴西路304号,70年,94㎡,14893                    元/平,华丰星城,精装修,镇海,中层/共6层,骆驼,140万,"['新上房源', '4小时前', '0人已浏览']",华丰星城94平方140万精装急抛拎包入住！,3室2厅1卫,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOzCQMDuYcRrFm6IazeWckzZpk1zEffDjpc6uQhhfOQnEtf3gzeNV-jGOYVZ9QFe_st0Lcmft6m3x_7k2_EqtKqnkFeU59lvtmMVhP8O4NvZ76gIcbHwYe3uuD10DYfba2y0KtJILbwjr-QuiAazy33TBC_Oh9KAXRtnpsMu8dyIj5MLSZyLT1hZknbImsL5l5RzFkm_dEg9mKVx650sLQ7xRN2R4nm8iB6MRy20FeDq&local=10667&pubid=33429030&apptype=0&psid=129517538200097346828836328&entinfo=34125795392203_0&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=&params=jxesfensembleB^desc&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=,2010年建
1,金悦路67号,70年,122㎡,11311                    元/平,金邑华庭,毛坯,镇海,低层/共12层,骆驼,138万,"['新上房源', '4小时前', '0人已浏览']",镇海金邑华庭122平毛坯现房3室2厅2卫,3室2厅2卫,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOzCQMDuYcRrFm6IazeWckzZpk1zEffDjpc6uQhhfOQnEtf3gzeNV-gItItc7daQOHed5x3XDG0sx_7k2_EqtKpY4jyzdwsw5_OJALqI9m4moQIXenspoCfuuD10DYfba2y0KtJILbwjr-QuiAazy33TBC_Oh9KAXRtnpsMu8dyIj5MLSZyLT1hpZ8TMOr4GhXDBA_5e26Y0mKVx650sLQ7xRN2R4nm8iB6MRy20FeDq&local=10667&pubid=33427335&apptype=0&psid=129517538200097346828836328&entinfo=34125773590967_0&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=&params=jxesfensembleB^desc&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=,2017年建
2,骆兴西路304号,70年,94㎡,14893                    元/平,华丰星城,精装修,镇海,中层/共6层,骆驼,140万,"['满两年', '新上房源', '4小时前', '0人已浏览']",华丰星城94平方精装140万急抛了，拎包入住,3室2厅1卫,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOzCQMDuYcRrFm6IazeWckzZpk1zEffDjpc6uQhhfOQnEtf3gzeNV-iRTXwhtszwdd6voJ9eO6OVx_7k2_EqtKphMOJNrPg9zcx06RLTbn09hBDtZ1AFs6vuuD10DYfba2y0KtJILbwjr-QuiAazy33TBC_Oh9KAXRtnpsMu8dyIj5MLSZyLT1jK8LXX3roejZ_WJe5MH7qVmKVx650sLQ7xRN2R4nm8iB6MRy20FeDq&local=10667&pubid=33458931&apptype=0&psid=129517538200097346828836328&entinfo=34125819691313_0&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=&params=jxesfensembleB^desc&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=,2008年建
3,"骆兴西路,近东邑北路",70年,80㎡,16500                    元/平,骆兴家园二期,精装修,镇海,中层/共6层,骆驼,132万,"['新上房源', '19小时前', '0人已浏览']",好房源：骆兴家园，婚装一年多，南北通透两室两厅一卫,2室1厅1卫,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOzCQMDuYcRrFm6IazeWckzZpk1zEffDjpc6uQhhfOQnEtf3gzeNV-iFy6-FIhVpKexbUCXSkhAjx_7k2_EqtKrNqN_2E2oKyr1u_M6fD7I1pM3b6VbDKBfuuD10DYfba2y0KtJILbwjr-QuiAazy33TBC_Oh9KAXRtnpsMu8dyIj5MLSZyLT1i_UJrsW5RC66xxMv-v-ddRmKVx650sLQ7xRN2R4nm8iB6MRy20FeDq&local=10667&pubid=33332708&apptype=0&psid=129517538200097346828836328&entinfo=34110254849343_0&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=&params=jxesfensembleB^desc&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=,2008年建
4,"骆兴西路,近东邑北路",70年,80㎡,16500                    元/平,骆兴家园二期,豪华装修,镇海,中层/共6层,骆驼,132万,"['满二唯一', '新上房源', '1天前', '0人已浏览']",好房源：骆兴家园，婚装一年多，南北通透两室两厅一卫,2室2厅1卫,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOzCQMDuYcRrFm6IazeWckzZpk1zEffDjpc6uQhhfOQnEtf3gzeNV-j3NvwzcZ0MwooJAJKn8Zzrx_7k2_EqtKqqZ2EFOnlmZS5g9vRXwk7XGUUBZL3i6bLuuD10DYfba2y0KtJILbwjr-QuiAazy33TBC_Oh9KAXRtnpsMu8dyIj5MLSZyLT1jdhMqynLvuCxDDvlC-ndhQmKVx650sLQ7xRN2R4nm8iB6MRy20FeDq&local=10667&pubid=33361838&apptype=0&psid=129517538200097346828836328&entinfo=34115290775753_0&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=&params=jxesfensembleB^desc&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=,2000年建
5,骆西路1号,40年,76㎡,9868                    元/平,利时爱丁堡,毛坯,镇海,中层/共19层,骆驼,75万,"['满五唯一', '新上房源', '1天前', '0人已浏览']",镇海骆驼地铁三号线旁精装修复式现房，利时广场购物方便,2室2厅2卫,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOzCQMDuYcRrFm6IazeWckzZpk1zEffDjpc6uQhhfOQnEtf3gzeNV-j538VJrzCR5QjmWNBquTNvx_7k2_EqtKqrpnzcLEV84cQhl8QdYKprGUUBZL3i6bLuuD10DYfba2y0KtJILbwjr-QuiAazy33TBC_Oh9KAXRtnpsMu8dyIj5MLSZyLT1jiS0NTOfNd9ZknAcs6_ZI6mKVx650sLQ7xRN2R4nm8iB6MRy20FeDq&local=10667&pubid=33327099&apptype=0&psid=129517538200097346828836328&entinfo=34108554933184_0&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=&params=jxesfensembleB^desc&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=,2018年建
6,永平西路555号,70年,109㎡,21100                    元/平,保利城2期,豪华装修,镇海,高层/共18层,骆驼,230万,"['满两年', '新上房源', '53分钟前', '0人已浏览']",保利城2期 豪装109平230万 无税 楼层好 家具家电送,3室2厅1卫,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOzCQMDuYcRrFm6IazeWckzZpk1zEffDjpc6uQhhfOQnEtf3gzeNV-j0oeV6Mmv9nQtHEW3qmcrQx_7k2_EqtKryFLfB46DcbDdMUT9C7lo-9wZ5vFL9FjjuuD10DYfba2y0KtJILbwjr-QuiAazy33TBC_Oh9KAXRtnpsMu8dyIj5MLSZyLT1hQ_SxuR2SYkcR-kWBVkd4LmKVx650sLQ7xRN2R4nm8iB6MRy20FeDq&local=10667&pubid=33458498&apptype=0&psid=129517538200097346828836328&entinfo=34127314032333_0&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=&params=jxesfensembleB^desc&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=,2014年建
7,三五路396号,70年,128㎡,16015                    元/平,银亿海尚广场,毛坯,镇海,中层/共16层,骆驼,205万,"['满两年', '新上房源', '1天前', '0人已浏览']",小区位置佳 环境好 ，拎包入住 送车位 高品质生活,3室2厅1卫,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOzCQMDuYcRrFm6IazeWckzZpk1zEffDjpc6uQhhfOQnEtf3gzeNV-jNx_mqtQpVdqyCz0trg3BGx_7k2_EqtKpnetd7JF_YhtXswy6fxhCh_iA8VADJkM_uuD10DYfba2y0KtJILbwjr-QuiAazy33TBC_Oh9KAXRtnpsMu8dyIj5MLSZyLT1gcwPYb9_g0E5vu6Wdy7FszmKVx650sLQ7xRN2R4nm8iB6MRy20FeDq&local=10667&pubid=33306956&apptype=0&psid=129517538200097346828836328&entinfo=34097351248059_0&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=&params=jxesfensembleB^desc&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=,2013年建
8,骆西路1号,40年,75㎡,10133                    元/平,利时爱丁堡,精装修,镇海,中层/共17层,骆驼,76万,"['满二唯一', '新上房源', '2天前', '0人已浏览']",镇海骆驼地铁三号线旁精装修复式现房，利时广场购物方便,3室2厅2卫,http://jxjump.58.com/service?target=FCADV8oV3os7xtAhI2suhvPnTEOzCQMDuYcRrFm6IazeWckzZpk1zEffDjpc6uQhhfOQnEtf3gzeNV-imTy8IIaItKrEU5mW_Hz56x_7k2_EqtKqkqWOo6Dvjec__higShxwZ9wZ5vFL9FjjuuD10DYfba2y0KtJILbwjr-QuiAazy33TBC_Oh9KAXRtnpsMu8dyIj5MLSZyLT1jds43YEDie-nkSynnsNbCrmKVx650sLQ7xRN2R4nm8iB6MRy20FeDq&local=10667&pubid=33307265&apptype=0&psid=129517538200097346828836328&entinfo=34095818499664_0&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=&params=jxesfensembleB^desc&cookie=|||c5/njVr ZaMm/1s5A/zIAg==&fzbref=1&key=,2017年建
9,"骆兴西路,近东邑北路",70年,103㎡,15533                    元/平,骆兴家园二期,精装修,镇海,中层/共6层,骆驼,160万,"['免税', '满两年', '05-14', '0人已浏览']",骆兴家园，精装103平，160万，仅此一套,3室2厅1卫,http://nb.58.com/ershoufang/34084029926095x.shtml,2012年建
